Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Opossum gene name	Opossum gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSSHAG00000002349	ENSSHAG00000002349.1	ENSSHAT00000002687	ENSSHAT00000002687.1		ENSMODG00000039359		GL867590.1	29391	86539
ENSSHAG00000002350	ENSSHAG00000002350.1	ENSSHAT00000002688	ENSSHAT00000002688.1				GL856729.1	29427	52943
ENSSHAG00000002351	ENSSHAG00000002351.1	ENSSHAT00000002689	ENSSHAT00000002689.1				GL835593.1	29441	31371
ENSSHAG00000002352	ENSSHAG00000002352.1	ENSSHAT00000002690	ENSSHAT00000002690.1		ENSMODG00000025780		GL835499.1	29448	33222
ENSSHAG00000002353	ENSSHAG00000002353.1	ENSSHAT00000002691	ENSSHAT00000002691.1				GL864934.1	29503	37635
ENSSHAG00000002354	ENSSHAG00000002354.1	ENSSHAT00000002692	ENSSHAT00000002692.1		ENSMODG00000049300		GL841806.1	29636	30565
ENSSHAG00000002354	ENSSHAG00000002354.1	ENSSHAT00000002692	ENSSHAT00000002692.1		ENSMODG00000043875		GL841806.1	29636	30565
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000050219		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000050219		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000043017		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000043017		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000023750		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000023750		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000007244		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000007244		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000048371		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000048371		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000003699		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000003699		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000048854		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000048854		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000003797		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000003797		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000003738		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000003738		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000038513		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000038513		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000039204		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000039204		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000043375		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000043375		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000007359		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000007359		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000046751		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000046751		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000040037		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000040037		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000044469		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000044469		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000037538		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000037538		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000022540		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000022540		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000051155		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000051155		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000024123		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000024123		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000011998		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000011998		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000011986		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000011986		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000003289		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000003289		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000037521		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000037521		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000047514		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000047514		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002693	ENSSHAT00000002693.1		ENSMODG00000003770		GL865007.1	29678	31529
ENSSHAG00000002355	ENSSHAG00000002355.1	ENSSHAT00000002694	ENSSHAT00000002694.1		ENSMODG00000003770		GL865007.1	29678	31529
ENSSHAG00000002356	ENSSHAG00000002356.1	ENSSHAT00000002695	ENSSHAT00000002695.1	ADAT1	ENSMODG00000002203	ADAT1	GL835549.1	29679	41786
ENSSHAG00000002357	ENSSHAG00000002357.1	ENSSHAT00000002696	ENSSHAT00000002696.1		ENSMODG00000022940		GL849739.1	29731	30672
ENSSHAG00000002357	ENSSHAG00000002357.1	ENSSHAT00000002696	ENSSHAT00000002696.1		ENSMODG00000022937		GL849739.1	29731	30672
ENSSHAG00000002358	ENSSHAG00000002358.1	ENSSHAT00000002697	ENSSHAT00000002697.1				GL856757.1	29746	56471
ENSSHAG00000002359	ENSSHAG00000002359.1	ENSSHAT00000002698	ENSSHAT00000002698.1		ENSMODG00000046972		GL841437.1	29789	30727
ENSSHAG00000002359	ENSSHAG00000002359.1	ENSSHAT00000002698	ENSSHAT00000002698.1		ENSMODG00000007347		GL841437.1	29789	30727
ENSSHAG00000002360	ENSSHAG00000002360.1	ENSSHAT00000002699	ENSSHAT00000002699.1				GL850745.1	29791	31857
ENSSHAG00000002361	ENSSHAG00000002361.1	ENSSHAT00000002700	ENSSHAT00000002700.1				GL862089.1	29854	30863
ENSSHAG00000002362	ENSSHAG00000002362.1	ENSSHAT00000002701	ENSSHAT00000002701.1	CPZ	ENSMODG00000003209		GL865054.1	29874	38560
ENSSHAG00000002363	ENSSHAG00000002363.1	ENSSHAT00000002702	ENSSHAT00000002702.1				GL861793.1	29891	30832
ENSSHAG00000002364	ENSSHAG00000002364.1	ENSSHAT00000002703	ENSSHAT00000002703.1		ENSMODG00000010838		GL862008.1	29935	34291
ENSSHAG00000002365	ENSSHAG00000002365.1	ENSSHAT00000002704	ENSSHAT00000002704.1	PPP4R1	ENSMODG00000021444	PPP4R1	GL841316.1	29936	90418
ENSSHAG00000002366	ENSSHAG00000002366.1	ENSSHAT00000002705	ENSSHAT00000002705.1				GL850007.1	29987	105894
ENSSHAG00000002367	ENSSHAG00000002367.1	ENSSHAT00000002706	ENSSHAT00000002706.1	DENND4A	ENSMODG00000009838		GL834486.1	30001	57345
ENSSHAG00000002367	ENSSHAG00000002367.1	ENSSHAT00000002707	ENSSHAT00000002707.1	DENND4A	ENSMODG00000009838		GL834486.1	30001	57345
ENSSHAG00000002368	ENSSHAG00000002368.1	ENSSHAT00000002708	ENSSHAT00000002708.1	SPOCK3	ENSMODG00000002474		GL864802.1	30025	30222
ENSSHAG00000002369	ENSSHAG00000002369.1	ENSSHAT00000002709	ENSSHAT00000002709.1	DIRAS2	ENSMODG00000025431	DIRAS2	GL841187.1	30027	30626
ENSSHAG00000002370	ENSSHAG00000002370.1	ENSSHAT00000002710	ENSSHAT00000002710.1	CRIP2	ENSMODG00000014642	CRIP2	GL835317.1	30042	33401
ENSSHAG00000002371	ENSSHAG00000002371.1	ENSSHAT00000002711	ENSSHAT00000002711.1				GL850100.1	30045	30969
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000025594		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000003262		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000018658		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000002375		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000003249		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000002399		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000025595		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000040149		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000002405		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000025581		GL849774.1	30087	84036
ENSSHAG00000002372	ENSSHAG00000002372.1	ENSSHAT00000002712	ENSSHAT00000002712.1		ENSMODG00000041706		GL849774.1	30087	84036
ENSSHAG00000002373	ENSSHAG00000002373.1	ENSSHAT00000002713	ENSSHAT00000002713.1	GNG12	ENSMODG00000000771	GNG12	GL857631.1	30095	31308
ENSSHAG00000002374	ENSSHAG00000002374.1	ENSSHAT00000002714	ENSSHAT00000002714.1	GABRD	ENSMODG00000038153	GABRD	GL850913.1	30139	52632
ENSSHAG00000002375	ENSSHAG00000002375.1	ENSSHAT00000002715	ENSSHAT00000002715.1	SNX32	ENSMODG00000009189	SNX32	GL865139.1	30152	36773
ENSSHAG00000002376	ENSSHAG00000002376.1	ENSSHAT00000002716	ENSSHAT00000002716.1	ATP10A	ENSMODG00000000935		GL851266.1	30203	31372
ENSSHAG00000002377	ENSSHAG00000002377.1	ENSSHAT00000002717	ENSSHAT00000002717.1	ANO1	ENSMODG00000048357		GL865229.1	30223	48925
ENSSHAG00000002378	ENSSHAG00000002378.1	ENSSHAT00000002718	ENSSHAT00000002718.1			RARG	GL861780.1	30244	52865
ENSSHAG00000002379	ENSSHAG00000002379.1	ENSSHAT00000002719	ENSSHAT00000002719.1	ATP13A3	ENSMODG00000019830	ATP13A3	GL850947.1	30279	68145
ENSSHAG00000002379	ENSSHAG00000002379.1	ENSSHAT00000002720	ENSSHAT00000002720.1	ATP13A3	ENSMODG00000019830	ATP13A3	GL850947.1	30279	68145
ENSSHAG00000002380	ENSSHAG00000002380.1	ENSSHAT00000002721	ENSSHAT00000002721.1	KPNA3	ENSMODG00000010829	KPNA3	GL849712.1	30340	68397
ENSSHAG00000002381	ENSSHAG00000002381.1	ENSSHAT00000002722	ENSSHAT00000002722.1		ENSMODG00000001007		GL865306.1	30362	56975
ENSSHAG00000002382	ENSSHAG00000002382.1	ENSSHAT00000002723	ENSSHAT00000002723.1		ENSMODG00000019195		GL864948.1	30387	66017
ENSSHAG00000002383	ENSSHAG00000002383.1	ENSSHAT00000002724	ENSSHAT00000002724.1		ENSMODG00000004909		GL850229.1	30409	50612
ENSSHAG00000002383	ENSSHAG00000002383.1	ENSSHAT00000002724	ENSSHAT00000002724.1		ENSMODG00000004349		GL850229.1	30409	50612
ENSSHAG00000002384	ENSSHAG00000002384.1	ENSSHAT00000002725	ENSSHAT00000002725.1				GL835536.1	30444	31715
ENSSHAG00000002385	ENSSHAG00000002385.1	ENSSHAT00000002726	ENSSHAT00000002726.1	PLA2G4D	ENSMODG00000017935	PLA2G4D	GL834510.1	30457	61827
ENSSHAG00000002386	ENSSHAG00000002386.1	ENSSHAT00000002727	ENSSHAT00000002727.1	FGF4	ENSMODG00000004108	FGF4	GL864910.1	30472	33868
ENSSHAG00000002387	ENSSHAG00000002387.1	ENSSHAT00000002728	ENSSHAT00000002728.1		ENSMODG00000007652		GL841496.1	30503	44846
ENSSHAG00000002388	ENSSHAG00000002388.1	ENSSHAT00000002729	ENSSHAT00000002729.1				GL842167.1	30513	42960
ENSSHAG00000002389	ENSSHAG00000002389.1	ENSSHAT00000002730	ENSSHAT00000002730.1		ENSMODG00000002605		GL850366.1	30538	32043
ENSSHAG00000002389	ENSSHAG00000002389.1	ENSSHAT00000002730	ENSSHAT00000002730.1		ENSMODG00000014457		GL850366.1	30538	32043
ENSSHAG00000002390	ENSSHAG00000002390.1	ENSSHAT00000002731	ENSSHAT00000002731.1	ASRGL1	ENSMODG00000007616	ASRGL1	GL865152.1	30546	50804
ENSSHAG00000002390	ENSSHAG00000002390.1	ENSSHAT00000002732	ENSSHAT00000002732.1	ASRGL1	ENSMODG00000007616	ASRGL1	GL865152.1	30546	50804
ENSSHAG00000002391	ENSSHAG00000002391.1	ENSSHAT00000002733	ENSSHAT00000002733.1	EPRS	ENSMODG00000004398	EPRS	GL856790.1	30573	81323
ENSSHAG00000002391	ENSSHAG00000002391.1	ENSSHAT00000002734	ENSSHAT00000002734.1	EPRS	ENSMODG00000004398	EPRS	GL856790.1	30573	81323
ENSSHAG00000002392	ENSSHAG00000002392.1	ENSSHAT00000002735	ENSSHAT00000002735.1				GL850001.1	30578	31611
ENSSHAG00000002393	ENSSHAG00000002393.1	ENSSHAT00000002736	ENSSHAT00000002736.1	RFT1	ENSMODG00000010659	RFT1	GL842626.1	30581	78074
ENSSHAG00000002394	ENSSHAG00000002394.1	ENSSHAT00000002737	ENSSHAT00000002737.1		ENSMODG00000050775		GL850454.1	30594	47878
ENSSHAG00000002395	ENSSHAG00000002395.1	ENSSHAT00000002738	ENSSHAT00000002738.1		ENSMODG00000015412		GL841560.1	30611	175801
ENSSHAG00000002396	ENSSHAG00000002396.1	ENSSHAT00000002739	ENSSHAT00000002739.1	B3GALT5	ENSMODG00000038204	B3GALT5	GL851149.1	30689	31645
ENSSHAG00000002397	ENSSHAG00000002397.1	ENSSHAT00000002740	ENSSHAT00000002740.1	ERLIN1	ENSMODG00000010668	ERLIN1	GL834421.1	30692	89166
ENSSHAG00000002398	ENSSHAG00000002398.1	ENSSHAT00000002741	ENSSHAT00000002741.1	ADORA2A	ENSMODG00000003982		GL841706.1	30742	33499
ENSSHAG00000002399	ENSSHAG00000002399.1	ENSSHAT00000002742	ENSSHAT00000002742.1				GL850741.1	30824	35776
ENSSHAG00000002400	ENSSHAG00000002400.1	ENSSHAT00000002743	ENSSHAT00000002743.1	IFT74	ENSMODG00000004236	IFT74	GL842170.1	30866	150356
ENSSHAG00000002401	ENSSHAG00000002401.1	ENSSHAT00000002744	ENSSHAT00000002744.1	DNAH1	ENSMODG00000011579		GL842296.1	30904	82673
ENSSHAG00000002402	ENSSHAG00000002402.1	ENSSHAT00000002745	ENSSHAT00000002745.1		ENSMODG00000005370		GL849769.1	30937	62499
ENSSHAG00000002403	ENSSHAG00000002403.1	ENSSHAT00000002746	ENSSHAT00000002746.1			MED12	GL867617.1	30957	53236
ENSSHAG00000002404	ENSSHAG00000002404.1	ENSSHAT00000002747	ENSSHAT00000002747.1		ENSMODG00000027649		GL849776.1	31039	43184
ENSSHAG00000002404	ENSSHAG00000002404.1	ENSSHAT00000002747	ENSSHAT00000002747.1		ENSMODG00000010628		GL849776.1	31039	43184
ENSSHAG00000002405	ENSSHAG00000002405.1	ENSSHAT00000002748	ENSSHAT00000002748.1				GL856720.1	31041	31568
ENSSHAG00000002406	ENSSHAG00000002406.1	ENSSHAT00000002749	ENSSHAT00000002749.1			FOSL1	GL865405.1	31043	33030
ENSSHAG00000002407	ENSSHAG00000002407.1	ENSSHAT00000002750	ENSSHAT00000002750.1	BCAT1	ENSMODG00000017691	BCAT1	GL861607.1	31084	129650
ENSSHAG00000002407	ENSSHAG00000002407.1	ENSSHAT00000002751	ENSSHAT00000002751.1	BCAT1	ENSMODG00000017691	BCAT1	GL861607.1	31084	129650
ENSSHAG00000002408	ENSSHAG00000002408.1	ENSSHAT00000002752	ENSSHAT00000002752.1		ENSMODG00000044364		GL864920.1	31094	37269
ENSSHAG00000002409	ENSSHAG00000002409.1	ENSSHAT00000002753	ENSSHAT00000002753.1	FOXK1	ENSMODG00000000866	FOXK1	GL841504.1	31097	56377
ENSSHAG00000002410	ENSSHAG00000002410.1	ENSSHAT00000002754	ENSSHAT00000002754.1		ENSMODG00000019114		GL857182.1	31105	32709
ENSSHAG00000002411	ENSSHAG00000002411.1	ENSSHAT00000002755	ENSSHAT00000002755.1	RBMS3	ENSMODG00000015125	RBMS3	GL861705.1	31151	569079
ENSSHAG00000002412	ENSSHAG00000002412.1	ENSSHAT00000002756	ENSSHAT00000002756.1	GRIA2	ENSMODG00000001807	GRIA2	GL864812.1	31159	113044
ENSSHAG00000002413	ENSSHAG00000002413.1	ENSSHAT00000002757	ENSSHAT00000002757.1			CFL1	GL865139.1	31186	32034
ENSSHAG00000002414	ENSSHAG00000002414.1	ENSSHAT00000002758	ENSSHAT00000002758.1	HAS1	ENSMODG00000020827	HAS1	GL850059.1	31282	37255
ENSSHAG00000002415	ENSSHAG00000002415.1	ENSSHAT00000002759	ENSSHAT00000002759.1		ENSMODG00000046229		GL850813.1	31326	50166
ENSSHAG00000002415	ENSSHAG00000002415.1	ENSSHAT00000002759	ENSSHAT00000002759.1		ENSMODG00000029652		GL850813.1	31326	50166
ENSSHAG00000002416	ENSSHAG00000002416.1	ENSSHAT00000002760	ENSSHAT00000002760.1	MAP4K4	ENSMODG00000002250	MAP4K4	GL849835.1	31386	252885
ENSSHAG00000002417	ENSSHAG00000002417.1	ENSSHAT00000002761	ENSSHAT00000002761.1		ENSMODG00000029656		GL850505.1	31394	44982
ENSSHAG00000002418	ENSSHAG00000002418.1	ENSSHAT00000002762	ENSSHAT00000002762.1				GL867702.1	31484	44197
ENSSHAG00000002419	ENSSHAG00000002419.1	ENSSHAT00000002763	ENSSHAT00000002763.1	UNC93B1	ENSMODG00000021332	UNC93B1	GL864939.1	31503	43338
ENSSHAG00000002420	ENSSHAG00000002420.1	ENSSHAT00000002764	ENSSHAT00000002764.1			RDH13	GL850027.1	31543	40576
ENSSHAG00000002420	ENSSHAG00000002420.1	ENSSHAT00000002765	ENSSHAT00000002765.1			RDH13	GL850027.1	31543	40576
ENSSHAG00000002421	ENSSHAG00000002421.1	ENSSHAT00000002766	ENSSHAT00000002766.1	RPL4	ENSMODG00000009657	RPL4	GL834487.1	31565	35695
ENSSHAG00000002422	ENSSHAG00000002422.1	ENSSHAT00000002767	ENSSHAT00000002767.1	RSAD1	ENSMODG00000020904	RSAD1	GL857024.1	31592	59383
ENSSHAG00000002422	ENSSHAG00000002422.1	ENSSHAT00000002768	ENSSHAT00000002768.1	RSAD1	ENSMODG00000020904	RSAD1	GL857024.1	31592	59383
ENSSHAG00000002423	ENSSHAG00000002423.1	ENSSHAT00000002769	ENSSHAT00000002769.1				GL850497.1	31598	86047
ENSSHAG00000002423	ENSSHAG00000002423.1	ENSSHAT00000002770	ENSSHAT00000002770.1				GL850497.1	31598	86047
ENSSHAG00000002424	ENSSHAG00000002424.1	ENSSHAT00000002771	ENSSHAT00000002771.1	APC	ENSMODG00000013281		GL842392.1	31644	52763
ENSSHAG00000002425	ENSSHAG00000002425.1	ENSSHAT00000002772	ENSSHAT00000002772.1	FZD2	ENSMODG00000011428		GL856830.1	31674	32381
ENSSHAG00000002426	ENSSHAG00000002426.1	ENSSHAT00000002773	ENSSHAT00000002773.1		ENSMODG00000001677		GL856991.1	31759	44442
ENSSHAG00000002427	ENSSHAG00000002427.1	ENSSHAT00000002774	ENSSHAT00000002774.1		ENSMODG00000020723	ABCG2	GL865016.1	31777	104261
ENSSHAG00000002427	ENSSHAG00000002427.1	ENSSHAT00000002775	ENSSHAT00000002775.1		ENSMODG00000020723	ABCG2	GL865016.1	31777	104261
ENSSHAG00000002428	ENSSHAG00000002428.1	ENSSHAT00000002776	ENSSHAT00000002776.1	ITSN1	ENSMODG00000021058	ITSN1	GL849537.1	31790	255852
ENSSHAG00000002428	ENSSHAG00000002428.1	ENSSHAT00000002777	ENSSHAT00000002777.1	ITSN1	ENSMODG00000021058	ITSN1	GL849537.1	31790	255852
ENSSHAG00000002429	ENSSHAG00000002429.1	ENSSHAT00000002778	ENSSHAT00000002778.1	LLGL1	ENSMODG00000013727		GL841470.1	31816	54680
ENSSHAG00000002430	ENSSHAG00000002430.1	ENSSHAT00000002779	ENSSHAT00000002779.1		ENSMODG00000040709		GL851098.1	31820	63064
ENSSHAG00000002431	ENSSHAG00000002431.1	ENSSHAT00000002780	ENSSHAT00000002780.1	ZFC3H1	ENSMODG00000020408	ZFC3H1	GL861571.1	31826	83699
ENSSHAG00000002432	ENSSHAG00000002432.1	ENSSHAT00000002781	ENSSHAT00000002781.1				GL850407.1	31901	35653
ENSSHAG00000002433	ENSSHAG00000002433.1	ENSSHAT00000002782	ENSSHAT00000002782.1		ENSMODG00000001902		GL835154.1	31914	34858
ENSSHAG00000002434	ENSSHAG00000002434.1	ENSSHAT00000002783	ENSSHAT00000002783.1		ENSMODG00000044064		GL851214.1	31933	32865
ENSSHAG00000002435	ENSSHAG00000002435.1	ENSSHAT00000002784	ENSSHAT00000002784.1	CRYM	ENSMODG00000007259	CRYM	GL842795.1	31937	40201
ENSSHAG00000002436	ENSSHAG00000002436.1	ENSSHAT00000002785	ENSSHAT00000002785.1	ANKRD33B	ENSMODG00000002457	ANKRD33B	GL841210.1	31980	125596
ENSSHAG00000002437	ENSSHAG00000002437.1	ENSSHAT00000002786	ENSSHAT00000002786.1		ENSMODG00000013248	TRA2B	GL857012.1	31983	42503
ENSSHAG00000002438	ENSSHAG00000002438.1	ENSSHAT00000002787	ENSSHAT00000002787.1	RAE1	ENSMODG00000016454		GL835834.1	32082	40583
ENSSHAG00000002439	ENSSHAG00000002439.1	ENSSHAT00000002788	ENSSHAT00000002788.1		ENSMODG00000047109		GL850167.1	32116	35238
ENSSHAG00000002440	ENSSHAG00000002440.1	ENSSHAT00000002789	ENSSHAT00000002789.1		ENSMODG00000050453		GL841891.1	32124	59130
ENSSHAG00000002441	ENSSHAG00000002441.1	ENSSHAT00000002790	ENSSHAT00000002790.1	C1QBP	ENSMODG00000024530	C1QBP	GL850318.1	32162	35447
ENSSHAG00000002442	ENSSHAG00000002442.1	ENSSHAT00000002791	ENSSHAT00000002791.1	REC8	ENSMODG00000003359	REC8	GL834498.1	32176	36864
ENSSHAG00000002443	ENSSHAG00000002443.1	ENSSHAT00000002792	ENSSHAT00000002792.1				GL865469.1	32189	39007
ENSSHAG00000002444	ENSSHAG00000002444.1	ENSSHAT00000002793	ENSSHAT00000002793.1				GL862008.1	32227	45891
ENSSHAG00000002444	ENSSHAG00000002444.1	ENSSHAT00000002794	ENSSHAT00000002794.1				GL862008.1	32227	45891
ENSSHAG00000002445	ENSSHAG00000002445.1	ENSSHAT00000002795	ENSSHAT00000002795.1	MOGAT3	ENSMODG00000004977	MOGAT3	GL856864.1	32302	36414
ENSSHAG00000002446	ENSSHAG00000002446.1	ENSSHAT00000002796	ENSSHAT00000002796.1	WHRN	ENSMODG00000019572	WHRN	GL834631.1	32320	136675
ENSSHAG00000002447	ENSSHAG00000002447.1	ENSSHAT00000002797	ENSSHAT00000002797.1		ENSMODG00000025710		GL857466.1	32327	70646
